_name,_gtfs_id,Address,HandicapAccessible,Escalator_Access,TTYPhone_Access,FullHighs_Access,MiniHighs_Access,Elevator_Access,MobileLift_Access,Ramp_Access,ParkingType,Operator ,RT/CR,Line,ParkingRate,SpacesAvailable,AccessibleParkingSpaces,AverageSpacesAvailable,BikeSpaces,ManagedByEmail,ManagedByLabel,ManagedByPhone,ManagedByWeb,PayByPhoneId,AdditionalNotes,Photo1,Photo2,Area_Map,Comments
23 Dry Dock Ave,30250,21 Dry Dock Ave,Yes,N/A,No,N/A,N/A,N/A,No,No,,,,,,,,,,,,,,,,,,,
306 Northern Ave,30294,306 Northern Ave,Yes,N/A,No,N/A,N/A,N/A,No,No,,,,,,,,,,,,,,,,,,,
88 Black Falcon Ave,31258,88 Black Falcon Ave,Yes,N/A,No,N/A,N/A,N/A,No,No,,,,,,,,,,,,,,,,,,,
Abington,Abington,"231 Centre Ave, Abington, MA 02351",Yes,None,No,Yes,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Kingston/Plymouth,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",405,9,0.54,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4401,For train information at Abington Station tune to 1630 AM,,,,
Airport,place-aport,"Transportation Way and Service Rd, Boston, MA 02128",Yes,Both,No,N/A,N/A,Yes,No,No,,,,,,,,,0,,,,,,,airsta1_600x430.jpg,Airport002.jpg,loganmap.gif,
Alewife,place-alfcl,"Alewife Brook Pkwy and Cambridge Park Dr, Cambridge, MA 02140",Yes,Both,No,N/A,N/A,Yes,No,Yes,Garage,MBTA,Rapid Transit,RedLine,"$7 for first 24 hours, $8 for each additional 24 hours",2627,31,<5%,174,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,,,alewife001.jpg,alewife002.jpg,alewifemap.gif,
Allston,place-alsgr,"Allston St and Commonwealth Avenue, Boston, MA 02134",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,AllstonSt001.jpg,AllstonSt002.jpg,allstonmap.gif,
Anderson/Woburn,Anderson/ Woburn,"100 Atlantic Ave, Woburn, MA 01801",Yes,None,No,Yes,No,No,No,Yes,Garage,,,,Daily: $7,2000,24,0.4,0,,Massport,781-721-9487,http://www.massport.com/,,For train information at Anderson/Woburn Station tune to 1630 AM,,,,"Massport is responsible for parking maintenance, payments, and snow removal. Overnight parking is available."
Andover,Andover,"17 Railroad St, Andover, MA 01810",Yes,None,No,No,Yes,Yes,No,Yes,Unattended Lot,MBTA,Rapid Transit,RedLine,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",150,4,<43%,6,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4229,For train information at Andover Station tune to 1630 AM,,,,
Andrew,place-andrw,"Dorchester Ave and Southhampton St, South Boston, MA 02127",Yes,Up,No,N/A,N/A,Yes,No,No,,,,,,,,,0,,,,,,,andrewphoto.gif,,andrewmap.gif,
